latitude,longitude,address,year,bedrooms,full_bth,half_bth,square_foot,res,condo,yr_built
42.383128,-71.00061,146 148 BAYSWATER ST 02128,2021,7,3,0,4497,1,0,1900
42.383435,-71.000233,105 107 ST ANDREW RD 02128,2021,5,2,0,4500,1,0,1915
42.383372,-71.000068,109 111 ST ANDREW RD 02128,2021,5,3,0,4500,1,0,1915
42.38297,-71.0003,154 156 BAYSWATER ST 02128,2021,6,2,0,4571,1,0,1920
42.38305,-71.00045,150 152 BAYSWATER ST 02128,2021,6,2,0,4205,1,0,1920
42.382679,-70.999795,166 168 BAYSWATER ST 02128,2021,4,2,0,4316,1,0,1915
42.38228,-70.99896,188 188A BAYSWATER ST 02128,2021,5,2,0,3918,1,0,1930
42.383801,-70.999252,2 4 TERAGRAM ST 02128,2021,4,2,0,3592,1,0,1945
42.383469,-70.998407,1189 1191 SARATOGA ST 02128,2021,5,3,0,4050,1,0,1915
42.38336,-70.99807,1197 1199 SARATOGA ST 02128,2021,5,2,0,4050,1,0,1915
42.384056,-71.000895,96 98 ST ANDREW RD 02128,2021,9,2,0,3600,1,0,1915
42.384154,-71.000322,1145 1147 SARATOGA ST 02128,2021,5,2,2,4050,1,0,1915
42.384104,-71.000169,1149 1151 SARATOGA ST 02128,2021,4,2,0,4050,1,0,1915
42.383901,-70.999551,3 5 TERAGRAM ST 02128,2021,4,2,0,5396,1,0,1945
42.383845,-71.000343,112 114 ST ANDREW RD 02128,2021,5,3,1,4050,1,0,1915
42.383892,-71.000485,108 110 ST ANDREW RD 02128,2021,6,2,0,4050,1,0,1915
42.383947,-71.000641,104 106 ST ANDREW RD 02128,2021,4,2,0,4050,1,0,1915
42.389457,-70.996667,    LEVERETT AV 02128,2021,6,3,0,5349,1,0,1998
42.38866,-70.99775,    SWAN AV 02128,2021,3,2,1,5246,1,0,1987
42.38866,-70.99775,    SWAN AV 02128,2021,4,3,0,5246,1,0,1984
42.38783,-71.00636,19 21 BREED ST 02128,2021,4,2,0,5500,1,0,1945
42.38745,-71.00595,6 8 ANTRIM ST 02128,2021,6,3,0,4158,1,0,1900
42.38746,-71.00512,1046 1050 BENNINGTON ST 02128,2021,9,3,0,4064,1,0,1910
42.388388,-71.004731,19 A ASHLEY ST 02128,2021,6,2,0,3555,1,0,1900
42.38811,-71.00495,21 23 ASHLEY ST 02128,2021,7,3,0,2822,1,0,1920
42.388287,-71.004893,21 A ASHLEY ST 02128,2021,4,2,0,2244,1,0,1923
42.38829,-71.00501,23 R ASHLEY ST 02128,2021,5,3,0,2694,1,0,1920
42.38813,-71.00518,25 27 ASHLEY ST 02128,2021,4,2,0,6000,1,0,1900
42.38826,-71.00606,41 R41 ASHLEY ST 02128,2021,4,1,0,4560,1,0,1900
42.38826,-71.00606,41 R41 ASHLEY ST 02128,2021,4,2,0,4560,1,0,1900
42.38808,-71.00259,1106 HF110 BENNINGTON ST 02128,2021,4,2,0,3957,1,0,1930
42.38804,-71.00357,7 9 BLACKINTON ST 02128,2021,6,3,0,2090,1,0,1900
42.38825,-71.00869,    WHITBY ST 02128,2021,3,1,1,4500,1,0,1999
42.38989,-71.0104,55 57 LEYDEN ST 02128,2021,7,4,0,4592,1,0,1900
42.38976,-71.01006,63 65 LEYDEN ST 02128,2021,3,3,0,4172,1,0,1910
42.3891,-71.0037,90 94 GLADSTONE ST 02128,2021,11,6,0,6775,1,0,1915
42.38906,-71.00354,88 86 GLADSTONE ST 02128,2021,6,3,0,6760,1,0,1910
42.38902,-71.0025,60 62 GLADSTONE ST 02128,2021,5,2,1,3560,1,0,1915
42.38897,-71.0007,24 22 GLADSTONE ST 02128,2021,9,3,0,2450,1,0,1905
42.38895,-71.00056,18 20 GLADSTONE ST 02128,2021,8,3,0,2450,1,0,1905
42.38896,-71.0001,8 12 GLADSTONE ST 02128,2021,4,2,0,5515,1,0,1925
42.38871,-71.002,240 HF240 LEYDEN ST 02128,2021,9,3,0,3005,1,0,1900
